text,sentiment
Reading &quot;The World Without Us&quot; - excellent non-fiction read for anyone with a bizarre fixation on post-apocalyptic fiction ,2
It's You!  singing while reading lyrics. Naging hot na naman si Sungmin. Aynaku.,2
"@bendau Heya Ben, thanks for following. Hope you have a great weekend. ",2
"@maudelicious i love it when they snap, crackle and pop. ",2
"A rare cool, rainy day in Colorado so there's only one thing to do. Heading to Starbucks to pick up a CafÃ© Mocha ",2
45 min on cell w/Verizon to try to get my USB modem working and they were no help. BUT I got it working using my vast Vista knowledge ,2
@suesshirtshop Psst. Take a peek at the weather here   http://twurl.nl/kcn24f,2
"@craiglparker Ok, how do I do that? ",2
Good afternoon Twitter! How is everyone? ,2
"just for when this expression catches on, and people use it to explain twitter, I said it first: Twitter  = Smsoip. Sms Over IP ",2
@aplusk they are amazing! their version of 1000 Oceans made me cry. thanks for sharing all your wonderful discoveries ,2
@juicyostar aw thank you  it's okay though hehe,2
Another day of gaming lies ahead. I love having a week off ,2
@AlexisBenson hey benz! how do you play Restaurant City man diay?  heehee.. are your classes starting already?,2
@dededancer01 if you like 2 laugh..have a good time..follow me..its just that simple ,2
"@climbfind CoR is like JTree, only lush and a bit smaller   I loved my trip out there and cannot wait to go back! #climb If you go, call!",2
"Turned off my Radio. Entered my @escapethefate CD, and put it on repeat.  Makes me sleep faster. Gnight TwitterNeverLand. Sweetdreams&lt;3.",2
Hey  i am at cadillac jacks  ~Jenn~,2
@MazzaClarinet your new twitter background is fantastic!  Keep up the good work on the nicotine front... ,2
@TeneciaNicole LOL. Thanks. Letting my work speak for me is how I roll ,2
@ThePISTOL and then come back to puerto rico ,2
&quot;I am certain the people I see with 'Palin' bumper stickers do not buy books.&quot;  Hehehe; I couldn't have put it better myself! ,2
"BTW, thx for all the #followfriday shout-outs! I LUV all my tweeps EVERY day!! ",2
@abpersonality maybe it's not charging because the outlets are funky due to the fact that there is intense THUNDER AND LIGHTNING!!! ,2
good moring...going to eat..shower...and out of here..rainy crappy day..but i'm alive...that's what's great ,2
"@yokie thank, you thank you! i try!   &lt;3 Wendy",2
@xVAHx Hello Vanessa..  I'm from Philippines. Hope you can come and visit us soon.. ,2
"@ianlisk66 good day,...it'll be nice for you all to swim! ",2
@alf_fified yesss lahha hahah its okay it fills my tummy just fine ,2
Goodmorning! ,2
i really want a whopper. itd be really awesome for my best friend to bring me onee. ,2
party tonightt  &amp; got my mcfly cake&lt;3,2
wooah. First day of summer was pretty damn sweet. I hope the rest is just as good. ,2
"@KiwiiKink yup. i'm gonna go take a shower right now, but give me your address, i'll ad you as soon as i come back ",2
@icequeen4 keke...G'luck. I'm doing Chem tomorrow. ,2
"@kyoungblood6971 Awwwww, he even wrapped it in button wrapping paper. ",2
"Who knew that all nighters could be so awesome and worth it.. well i kinda knew it would be amazing, and it was ",2
"@lorenrochelle but it looks delicious, loren  i would join you, and bring wine.",2
@Snowice0 i like pool more then the beach  unless we're going to play beach vollyball  hehe ,2
I'm drinking juice ,2
@chloebli heyy!  how was your carnavilistic day? Woow I made a word!,2
"@marandaxojonas thanks! i hope so too! i don't wanna tell a lot of people about it (i know, selfish) so just message me on myspace. ",2
@josephcurran thanks. I tweet only SEO Leads ,2
@Phyneprint I FB-ed you! ,2
@keytar EUGH. THANK YOU BB! ,2
"@theana93 iya untung belom senin, ahahah  di bawah gue ada tp tnggal 2 biji. Gue makan satu :p hahhaa pngen nastarrr",2
Find out the owner of any cell phone or unlisted number. its great  http://linkbee.com/3L02,2
"@drable Hi Cutie, happy Monday. ",2
@tastethemagic wow 200 more updates in 1 day that is ambitious ,2
at sencyyy with @amandacitradewi and miaaaa ,2
@ryan_cabrera Youuuu should come around the merch area. We promise you won't get beat up  I love you.,2
Good Morning Everyone!!! ,2
mm kinda eh mood. tomorrow will be wonderful though  gooodnight.,2
@angryfeet Ooh am I an Occasional Journaloust because I'm an Occasional Journalous? Or just because of my post number...? ,2
@dariust101 http://twitpic.com/6cteu - I dig it  lol thankss,2
@psymonc haha. you got a twitter. ,2
Good ole insomnia!  You never fail me but I wish you would try. ,2
i waited twelve hours for about sixty seconds...totally worth it though. ,2
@eamhael get well ,2
YUM!! my mums making pancakes ,2
@brenda_song what is your fav color?? ,2
"@adambard oh, I see you have some negative votes as well! So it's not just the +, but also the - that gives you the satisfaction? ",2
Omg ! Soooo happy ! Ya baby ! Drakeeeee nd Weezy commin.. Nd Jeezy nd Soulja Boy. But I'm most happy for D R A K E ! =D owwww ow ! Wooo ,2
Going to dinner with @ohmgeeitsmorgan! We need food therapy ,2
"put some new #covers up on #youtube! One is the #awesome and only soft/acoustic song by #Disturbed, #Darkness http://is.gd/RWGZ Check it! ",2
@rockingla Thanks  New work will arrive in a few weeks ,2
Thankful for this life ,2
@nikkisanti Yes. Yes you may certainly say that. ,2
@kirstiealley YELL all ya want! I like it  some people are just freaking anal!,2
"Morning, Im going for a haircut now  I really do need it! I still have nothing planned for after however...",2
STAR TREK was AWESOME!! ,2
"#myweakness Y! Chess, more addicted to it ",2
At my grandmas house with the fam ,2
Start making money online the easy way! http://tinyurl.com/ll9knu - I made $13 today already ,2
@goks goks how are you..where are u now? want to talk to you to get some kinda advice ,2
"@tommcfly and we love you! hahaha pleeease, answer me  about the mcfly's future.are you anxious to come to Brazil? See you in Porto alegre",2
@JessyFlores Yeah. usually it's takas lang. Joke. ) try mo. He might actually say yes. ,2
at the moment i'm getting ready to head to the beach ,2
oh thanks to @cunch for my #followfriday mention too  what a compliment,2
I'll be back twitter!  Naw I'll just take it in now!  Goodnight!  ,2
Two downn one to go  ily thursdaay girls  !!!,2
Hangin out with some cool ass people.  http://short.to/8j3p,2
@AgentBooth You'll have those 'notes'  soon enough.  We have FAITH.,2
sometimes... i am a wild child. i just now realized this ,2
"Good night, folks. Have a good Friday ",2
"@rayeman you are probably right :O Either way, I will still have it as long as it tastes the same ",2
Woke up this morning to a cloudy sky...hopefully it'll be a good day and rain! ,2
is listening to the new Fightstar ,2
@mindi_li hey it is ,2
@thatboymeta  Define it,2
"@LynnRoehrig hey, the amity affliction are playing hot damn on the 28th with closure in moscow, they're pretty awesome too ",2
&quot;You're poison running through my veins!&quot; - Dance party in the car wut wut! ,2
@ohmyjooo I've always wanted to meet the Lost Boys ) and maybe even Tinkerbell ,2
"@MarkStanto just created the yahoo pipe, not as straightforward as I hoped, but got there in the end ",2
Going to play in the sun and have a fun bike ride with my bestest friend! ,2
@mamastony ok so I'm the slacker ,2
@thebraysmommy Night... ,2
@Andy_Watt NOoo i try to give u an compliment ..like i always do  *blinks*,2
@Katapult btw - didja read the Ninja Mountain history on my Blog today? A must for all NM fans. ,2
@nonlocal - I want that job! ,2
@LarryMendte cheers! Welcome back to the world...whether you like it or not...  ,2
@natobasso I love my haircut ,2
@akiville how much u ask for it? ,2
is awake from a nice nap!  http://plurk.com/p/xtuvg,2
NYC here we come ,2
downloading songs.. ,2
@MCHazelEyez deal  pump it up this week?,2
@dannygokey DANNY YOU MOVED UP TO #4!!!!! TELL EVERYONE TO KEEP VOTING!!! ITS WORKING!! ,2
Woke up wayyy too early..siiigh...have to wake up at 6 tomorrow for exam! &gt;_&lt; Good morning Twitter!! ,2
@Wrapstar Priceless!  ,2
"@jonathanw I'm using Windows 7 RC absolutely fine, I'm using it as my primary OS. Your Dell must be funny, my new HP DV5-1080ei is fine ",2
Went to Sams and got a massive tub of Salsa... Oh happy day ,2
hella bored ! qonna buy some qucci on the web later on ! ,2
@eotdu haha i say haha in like everything i do so HAH! night ,2
@rowsell Congrats on the epic success of your ride ,2
"@BigLou45 mansion? i wish!  i am down the coast from him, dont ever see him though, my dad did once cause he works in Newport",2
@mygoatjuno I have brought you to the dark side! ,2
@urbanrelations Chicago! ,2
"@jimmycarr Would that be a major plot spoiler by any chance? Never mind, I wasn't going to see it anyway. ",2
@zoezeekay did you buy anything good? ,2
#followfriday @LaurensVerwijs @Chamin @davidalston @spif ! Awesome guys ,2
Back sooon ,2
"It's great to be home! Temp is chill, cat is great and I feel awesome ",2
@Sion71 Totally take the piss why don`t you i`m the one qualified to tell you i`m not the mad one ,2
Thanks Tim for the tix!!! Bring on March 2010 ,2
"@PlanetIrl ooh, I have two of yours...we'll see! ",2
"AHHHH, gots some hot seniors to sign my year boookk!! OoOOoOH sooo happpy  Didn't get the person i realllly realllly wanted to sign bu ...",2
@ItsJustDi what?? hahahaha. fast times... good movie ,2
#mileymonday #mileymonday #mileymonday #mileymonday #mileymonday #mileymonday #mileymonday #mileymonday #mileymonday #mileymonday  retwee,2
HMMM Going to go get icecream ,2
"@dickenherr00 ha ha well I have my boat license and soon drivers license, only time Ive killed an engine was trying to drift in a field ",2
melissa should give taja a pancake ,2
@stephfortunato Hope you put sunscreen on that pretty face of yours. ,2
"@sharonhayes  My goal is to live this month 1minute, 1 hour, 1 day at a time &amp; to do NOW what I may have otherwise put off.   So true!",2
Setting up my netflix friends list... share your fav movies with me.  http://bit.ly/7hkFj   ,2
@Chapstick10495 Mornin' Chickita! any chance of sunshine over there today? it's gonna be 30 again here today! smokin' !! ,2
@illmaticP ilymore babe!! I thought bout you and how you walked from riverwood to my job just for me two yrs ago  ahhh come home asap!,2
@Iamlegend01 u don't have school today????,2
"Finally got my shopping! Nu bag, nu shades&amp; hot belt from Ted baker Heading home then straight bk out! Its friday baby&amp; I got 3 days off ",2
@JonathanRKnight good night  wash good hahaha =D,2
@mariofergarciaz @HeartagramTeam followers dance with me because: #30secondstomars #marsiscoming ,2
@xarizonajayx:I will!!  thanks!!,2
@selenagomez Hey! you no you should go to glasgow! the wearther there is amazin! ,2
"I can hear waves crashing, so calming ",2
Going to dig a few holes then build a new studio table. ,2
@Listersmate More &lt;&lt;Hugs&gt;&gt; to you! ,2
Sittin here at my boos house just chillin ,2
"@MsTimaB fashion show production has always been my passion, so its way more beneficial on both ends for me to go with that . ",2
@NNUS ur welcome nice lady ,2
Sarasota safe and sound. Rock on for Jesus! ,2
@Timerarious i'm glad u kept the same avatar or else i wouldn't have known it was u LOL. cool name change ,2
@mljungqvist haha.. will do ,2
I think it was interesting how many people were partial to Mr. Evol. Hey @emlynley maybe you should do a poll about heroes. ,2
G'Morning!! Been up since 5 to take the wimminfolk to their Girl Scout thing.  Caffeine will be my friend... ,2
Hannah Montana is coming to Singapore theatres tomorrow!  Can't wait to see Taylor in it after the Prelims. ,2
@stacey_baby *pulls back covers* Oh my.  *click* *click* Very nice ,2
@amberloo22 Congratulations and best of luck!  ,2
knows a place ,2
Catherine Neal Sandifer has twitter! Follow @CatherineNealS  she's so cool,2
http://twitpic.com/6bqc0 - Make LOVE not WAR!!!!!!  ?,2
"@aarongzmn oh yeah! win+tab, dude awesome thanks for all of the good shortcuts ",2
@RnbGenius hey did you do for your birthday? i hope you had a good one. ,2
@tracynova http://twitpic.com/61o74 - Am I getting a personalized issue miss? ,2
@CEOSOSINCERE I REALLY APPRECIATE THAT! THANK YOU ,2
"@coldplay http://twitpic.com/68tca - Guy, say hello to everybody for me  Furthermore I hope you will have a great time in America---- ...",2
The only good thing about yoga at Pierce is I get to wear my super comfy/expensive yoga clothes and no bra  I wish lex still worked there,2
"The Killers on Jonathan Ross completely epitomised why I love them with all my fangirl heart.  Seriously wow.  I miss Reading, &amp; Dublin",2
@kristenstewart9  Have fun and good luck at the movie awards  Try to send some twitpic's from the awards to all your tweets.,2
@azfarislam I'm sure you've already shown us that ;-) Still good though  We should have a bit game again soon.,2
@ckel0454 i think after six hours in the car you'll be pretty hooked ,2
@drinkhaus we stopped by your shop on saturday!  so fun!  &amp; great coffee!  2 thumbs way up from omaha! ,2
"okkk just 7 pairs of new shoes to wear, not too bad ",2
@TheLadyJane I'm not sneaky! Amazon.co.uk is my godsend. ,2
http://twitpic.com/6a73k - An uncommonly cloudy day in LA. Sounds like the perfect day for an Afternoon Academy class  http://tr.I'm/formy,2
@cwiiis @cwiis you can now run Fedora 10 with yum at reasonable speed! ,2
@yikes77 I like the first one ,2
@Petit_Cheri oh yum! I wish I was baking ,2
Bless The Broken Road by Rascal Flatts is a very beautiful song ,2
@jonasbroslover yeah JB are here im gunna go to the premiere of their 3d movie tomorrow ,2
On my way home. Had a good time at church  just ate tuttifrutti fro-yo and its really good.I like green tea and strawberry flavour d most!,2
@AmieSC yes it is... can not wait for the new Season this monday... ,2
Josh just put &quot;Birdhouse in your Soul&quot; by TMBG on the jukebox for me... and it completely made my night. ,2
@amybruni Use bug spray and put dryer sheets in your pockets.  Keeps the mosquitos and gnats away!!!  ,2
@MissAthena Go out then ,2
"@MadGerald Jesus, if YOU couldn't stand up in there, the ceilings must've been REALLY low. Congrats on getting the 3rd though ",2
@Zobi09 The cast of True Blood was there ,2
ugh finally done now eating chipotle.gooood ending. ,2
Spending *all* day cleaning/laundry/grocery shopping -- Mr. R's been quite neglected ,2
"@needlefood  will check it out, thanks ",2
@1jessicasexybbe Hey... Yea i wanna chat... I'm pretty bored ,2
"Ha, wanna hit up b-ville next friday??? Imma be home thursday we should go to big sams thursday night ",2
@DENISE_RICHARDS that is so great that youre giving things away! I have been giving them some stuff away too-nice feeling ,2
"we broke 2,000 followers!! yay  We love you all &lt;3",2
At work. Can't wait to get home to my woman. . i know she cooked for me. . .  ,2
@leukemiakid I think I voted at least 100+ times. Remind me tomorrow! ,2
GOD has someone special out there for me...if u ain't it then keep it moving! thanks! ,2
@kaylejv --That's bc you don't have any friends to play with yet. Start following and be followed.  I heard u were in a boyband??,2
@milesdecourcy I will be dancing my ass off tonight in a bank basement on Main St thinking of you  expect drunk texts.,2
"@jfietzer since @jennicatron says u can hang out at Cross Point sometime, we will have to roadtrip to Nashville. ",2
HAPPY MOMMA's DAY ALL. HONOR YOUR MOMs  sign up for #maternalhealth  here's for all mothers and luvin kids out there:  http://bit.ly/Bpekk,2
"@MrRathbone um, technically summer starts in June! So you only have to wait a couple weeks ",2
@_maisy lmao!! your fun to confuse!! ,2
So happy today ,2
I have a pet butterfly hanging out in my room. his name is Philbert ,2
"@MissBeckala nice! im 4th row in the pit n1 of spac . i did vegas. also doing san francisco, fresno, gorge, and irvine. ",2
@jordanknight @BJoie @Mels82 @megspptc Your Seekers are patiently awaiting your tweet Please make us S.A.F.E. ,2
"@Dannymcfly is in the trending topics, how cool is that, sexy mo fo! ",2
Watchin 'Family Matters'  &amp; talkin to my folks on aim!  hit my uppp! ;),2
@Sid87pens you play ah-mazing ! like 24/7 lol. give em hell next game ,2
someone donate 5 dollars? I wanna buy some advertising  http://dylan.combs.tv/about donate button there,2
@PatriciaSmiley I pulled up the last few minutes of the show. Works fine on my Linux laptop! It's SO nice to be able to grab the podcast! ,2
Happy Mother's Day! ,2
Had fun playing with the water hose with Kalyn and Alisa  http://plurk.com/p/116y6a,2
"@mw55  I hope so!!!!!!  I am so proud of you, David and all of MWR!!!!  Keep it up and GOD BLESS!!!!   ",2
@VirginAmerica Flying LAX to SFO and after looking at the awesome movie lineup I actually wish I was on a long haul.,2
just been to work with dad ,2
"@Bobby_Labonte goodluck, have fun &amp; be safe! ",2
"@smadison not spammy, informative and engaging.  I'm emulating @jowyang by integrating twitter into my life. ",2
"Just watched quarantine with anthony. I liked it, makes me want to see the original called [REC] ",2
"oh diversity, you wonderful boys ",2
"Watched X-Men movie yesterday. Not bad as everyone warned. Worth watching. Girls, Huge Jackman was exposed in the movie, so DON&quot;T miss it ",2
"&quot;holy mackeral mister, you scared the jeepers outta me.&quot;  &lt;3",2
Waiting for Ivy to fall asleep after a big feed..then TV land beckons ,2
now watching gossip girl and later 90210!!! yeahhh ,2
early night  woo!,2
Everyone follow nigahiga! NOW! ,2
@chriscuzzy hope everything slows down shortly  take care and goodnight!,2
@redrummiss I'm Yours ,2
@so_yun yeah i thought she was going to say she loved the boricha! oh well. hahaha. and yeah you definitely didn't sound dumb! good job! ,2
@amands42 sorry for late reply ha.. ) oh yeah wear civilian nlang gud  hahaha... and yah.. HEY!!!!!,2
Its been such a great weekend and its not over yet!!  Heading to the pool ,2
@Scribbles92 Haha I got em before they release to the public ,2
Me: What's the gayest song you know? Mom: It's raining men. *plays song* Mom comes in dancing. I knew she was a fruit fly at heart &lt;3  #fb,2
"@SelfHelpGoddess Great day? &quot;The better it gets, the better it gets!&quot;  I would love to hear from you, and for you I affirm abundance!",2
"@anaggh: so, when the old person tries to act young, is that split personality? ",2
It's going to be a Demi filled summer! What could be better than that ,2
@bentonpaul nice pic! like the hair. ,2
"is about to go to bed, had a GREAT time these past few days with my Morgan  got trashed, met a LOT of awesome people, and feel real good",2
@Gigadelic Oooooooooh....cool ,2
@jefferycjordan thanks  night,2
@ahj just pretend you are a student - have to wear creased thingy for weeks on end ,2
@ClaudeKelly G'Mornin to you too! Hope it's a good one! Listened to Us earlier! Great song Claude!  Di,2
@vincent_maher intersting thought..twitter is best when in church for a wedding and in need of a cricket or rugby score update! ,2
@zoeox Eek I did higher for everything apart from the actual exam. I failed every one!  Art sounds quite hard :| I have no imagination x,2
@MaritessDeLeon aww tessy wanna hug?,2
Just had a mcdonalds breakfast. Tasty  And cured the illness,2
@BulletteKitty What are the requirements to run #TheSims3? I'm totally getting it. ,2
@HilzFuld BTW I never heard of Forex before I met you and have now seen two massive billboards in the last week about it ,2
I miss my cuzzs @jNv19 @jolinagallero . We don't get together as much as we'd like! ,2
"@mananamusic thanks. Yes, saw that you will play there too ",2
"?????? ? ????, ??? ??? ??????????  ??? ?? add, ? ?????? scanner lol lol lol  http://tr.im/m5wc",2
"Updating my personal blog at Blogger, last post was March 2008  Preparing a new one at Wordpress too.",2
@SaraSAFC sounds like you having an awful time... Get well soon ,2
@Evinshir good to see he's keeping happy and well fed ,2
@scarletletterm sounds nice!! But u would be better with a full English inside you!!! ,2
@ObrittanyHIO hell yeah I am!! ,2
"@Foomandoonian oh, i do believe you have delivered, what may turn out to be the best news i recieve today! awesome! ",2
Off to watch the final of BGT ,2
"@youngjasper The invisible clause is always, &quot;except Kenji&quot; ",2
@xohanna oh yer btw uno when its miley time we should do abit of gate hanging ,2
@Lucy_McFLY awww that is soo amazing ,2
@thedanyoung i'm sorry for bad dreams. :/ sleep welll tonight. ,2
@adamwc morning  learning how to maximize #wordpress tools as a non-developer,2
@crisr oh hai tiny chicks! Remember to steal the tiny grey one for me ,2
Apple pie rocks ,2
GoodMorning net ppl .. good day to start with danao drink ,2
"@lisahenley you are awesome, you got her blushing ",2
really want to see JB3D.. cant wait for thursday,2
@teerific this is bad. i wanna cause trouble. HELP MEEE! ,2
@aimsame thanks. Took the night off. Watched the first two eps of &quot;Castle&quot;. Have decided I might be developing a crush on Nathan Fillion ,2
Just finished designing a poster for something big! I will upload it once I find out if I'm hired or not ,2
Went to Mexicali for dinner.  Yum.  ,2
uploading THE MAINE interview. enjoy ,2
@kristenstewart9 follow me please!  follow me please!  follow me please!  I am a big fan of yours.,2
today's outfit!  http://twitgoo.com/om8j,2
"@Ben_Grubb Oh, that's quite a lineup!  @Custard_Socks and I were tempted to go but we're doing too many recordings right now as it is ;)",2
@agreenberg @teekers FRICKIN AWESOME!!! Congrats! ,2
"just came from the most romantic wedding ever. the groom almost cried, which made everyone else almost cry ",2
Great to have Tim back from FL. We're praying the Lord will use him as our worship leader at Grace Church of Philly. He also needs a job ,2
@betsybarron - I want one too! Desi has g8 (nevermind creative)  taste ,2
@OperaWife wait... she was singing? Crap... that ruins the effect! ,2
": G'bye Thursday night tip money. Hello ACL ticket  Ben Harper, Pearl Jam, Michael Franti, Rebirth -- see you boys in October.",2
Am on fire ,2
@trent_reznor Living in the future beats living in the past all to hell ,2
"@Angielala up and Adam Angie, ride with me to the Whole Foods market and keep my company ",2
At my brothers soccer practice...thought it would be alot more fun... :/ I'm disapointed atleast I'm listening to music  David cook! Lol,2
Wow swimming is intense... But I did it!!! 300 meters at barton spprings ,2
@smmka Like an outhouse without the house part ,2
Starting my morning off with some beautiful Inpirational Music!! Thank you Jesus for another lovely day!! ,2
@tommyreyes ohh yeahhh good point lol ,2
@231rent Get 100 followers a day using www.tweeterfollow.com Once you add everyone you are on the train or pay vip ,2
i'm so happy i got a 7 for my personal project! all the hard work throughout the year paid off. thanks pak andy &amp; pak kelkar! ,2
Just sold this bag on etsy  http://bit.ly/jzsto,2
@coldplay http://twitpic.com/68tca - Hey Guy..finally you're returned!  I missed you!!!,2
"@PeterPek wow, how's 4 women drivers in Red Bull?  Are they hot?  ",2
"@lindork Already figured it out, but thanks anyways! ",2
Grateful... made it to church and now having a happy 7th brunch ,2
"@edhat1 @edhat1 Oi!  Cheap shot, we're all slightly talented ;) Wanna meet a digital artist @adamdorman, I have NO problem with nepotism ",2
Back from the district in tustin. Paint tomorrow ,2
"Oh noesss seniors last day  However, tickling will till he was on the floor giggling made it totally worth it. Plus, a senior sandwhich!",2
"...just finished sewing, good night *tweeties* ",2
I'm planning on what to do during my last days if summer ,2
@philbolsta DIY is definitely the wrong answer. Usually turns out to be a hot mess. ,2
@noshots4me they actually work closely together. Both care about their products...kids are easy prey. Parents are the judge ,2
on my way to graduation with @IDKAYBsarahCTD and bill and rocking out to def leppard. ,2
I get to play with some Jazzmutant Lemurs today  Signed up for 2 workshpos a while ago. Lemur's then Studio. Funtimes.,2
@bethanydillon Max &amp; Erma's is YUM ,2
@keitharichall I called the guy back and told him I was still interested and then he called me back said ok. Could have a  job by Friday! ,2
@RealLamarOdom Congrats from Lakers fans from Turkey! http://tinyurl.com/nygjvo we cheered for Lakers and booed Hedo ,2
Kuzie is an A-1 class act  Now maybe she can go on to win 5 more slams.She is playing much smarter tennis these days,2
"@jourdan_eliza, yay! I'm ready for jello, balloon animals, and movies no one else will watch. ",2
At Wembley with @hally24 having a few beers before the game  http://twitpic.com/3is1j,2
I'm so bored. I am feeling random and impulsive!!! ,2
heading homeeee. last of senior project to do  heck yes,2
"@JonathanRKnight U could watch the old episodes in Spanish ;) Or if u get bored, u can always call us  Ps: great pic BTW",2
Just up and it's nearly time to go out for a little cycle ,2
@Advances go to sleep. goodnight twitter world!! ,2
Good Morning! Coffee anyone?  It's a hazelnut blend... Mmmm,2
@damienblake Hmmm hopefully not that hard to set up projects ... I'll see if I can still use a demo license with it ,2
is listening to Pink Floyd after *ages*. The Earls Court (Pulse concert) version of Learning To Fly is wonderful ,2
@CatyEyes  it looks like it must have been gorgeous earlier in the season.. ,2
"I have the best friends... Jenny, you made my day and always do ",2
"had a great weekend...very tired, very sore...i can't wait to go back! ",2
"@pckctoi And your vagina on the examinator's cock ?  God, keep children away ! XD",2
"Sorry I posted so many wonderful giveaways yesterday  http://tinyurl.com/c4hxjl Please take a few minutes to enter, lots of gift cards!",2
"Testing, deploying, testing, deploying and testing again ",2
@TrentVaughn love the names  Dont let Amy forget to take pics tonight!!!!,2
"@CHERUBnkotb we should team up &amp; give Jk a massage, but w/ his wife's permission 1st. Im no homewrecker! ",2
good morning everyone! happy saturday! gettin ready to go get a haircut ,2
"@aguilarcamille if you're planning to dispose of him, better not tweet it so he won't know what's coming ",2
"@tapinoma Nice another winner. Congrats to Lolo. Welcome to the winners club, LOL. ",2
"@TheAdamLambert if you're the real adam, i love you  if you're not, then ignore that",2
"I had a great day today at Gowan Park in #yeg with T &amp; C, you guys always make me laugh ",2
I dont have to clean the coolers tomorrow  happy day.,2
@indiekuri you tell us ,2
I'm rockin out to BYOB!!  I kinda suck tho. Bt it all good!!,2
had an amazing day  making a custom skate deck for jasons bday.,2
@SilverPaper  You got it!!! ,2
@pyuric cu ... cu ... cu ... cu cine!? ,2
@Karen230683 ach you're rubbish ! ,2
Is preparing for my 3 hour presentation tomorrow to the new Kestrel distributors.  I will be spectacular ,2
"@nikka_d Haha! Good then! Yeah, soon enough, you'll be veeery addicted. Haha! ",2
@dcorsetto And we love you. ,2
"@kimdasha Hey, found you~! ",2
@duduDuyen i know! i love britain's got talent  who's your favorite this year?,2
@pcdnicole  u changed ur display pic!! ,2
"@do0dlebugdebz upload is done, save it and it's done. ",2
@NikkiBenz Morning (for me) NB  Hope you've had a good day x,2
@gabrielmalor much better!  thank you   thankfully i was well enough to go out and enjoy our nice sunny day up here in the NW too,2
i'm drinking good bear ,2
James' son  nice cover..... â« http://blip.fm/~7j3ul,2
counting my blessings! ,2
I am so planning on doing NOTHING today. lol ,2
@dougpete Well I am back. And thinking about things. And reflecting a little. Hope your weekend is treating you well. ,2
cant wait until august! TAI with nikki    ,2
PM #23149 (Italian Princess) said: Nite Nite   http://PaidModels.com/23149,2
Offer accepted ,2
@chad_lad @curiousjayorge we did.  but its good ,2
haha jc! sorry cant reply on my phone.. we will sooon hun! ,2
We are in my Dad's car and he keeps having to stop because of cramp. Maybe I'll get my break to drive his car today ,2
I'll go for a while hope it stays calm today  Have fun or sleep or what ever. Love you All !!! xoxoxo,2
Sleep is for the weak plus im not tired enough to pass out got up at 4pm yesterday so im good for another few hours  also missing the gf,2
